ESRB_rating,average_user_score,developer,genres,metascore,platform,publisher,release_date,summary,title,url
E,9.1,Nintendo,"Action Adventure, Fantasy",99.0,Nintendo 64,Nintendo,"Nov 23, 1998","As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.",The Legend of Zelda: Ocarina of Time,https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-ocarina-of-time
E10+,3.6,THQ,"Action, General, General",31.0,PlayStation 3,THQ,"May 24, 2011",,DreamWorks Kung Fu Panda 2,https://www.metacritic.com/game/playstation-3/dreamworks-kung-fu-panda-2
E10+,5.0,Compile Heart,"Role-Playing, Action RPG",36.0,Switch,Idea Factory,"Jan 30, 2020",,Arc of Alchemist,https://www.metacritic.com/game/switch/arc-of-alchemist
E10+,3.3,"Eighting, Takara Tomy","Action, General, Fighting, General, 3D",38.0,Wii,Tomy Corporation,"Nov 12, 2010","Take control of both Naruto and Sasuke as they go their own ways to seek out the mysteries and power behind Genryu, the mighty Elemental Dragons, in an all-new epic adventure. The world is in danger and only the power of the legendary Dragon Blade and rare elemental orbs hidden across the land can save it.  As Naruto, you will use special orbs collected from the powerful Genryu to enhance your Dragon Blade with new powers, acquire new skills by finding and equipping dozens of Ninja Scrolls hidden throughout the world, and take on gigantic dragons in incredible boss battles! With two superstars in one game, you won't want to miss this amazing adventure",Naruto Shippuden: Dragon Blade Chronicles,https://www.metacritic.com/game/wii/naruto-shippuden-dragon-blade-chronicles
E,tbd,Digital Eclipse,"Action, General",40.0,Game Boy Advance,VU Games,"Nov  5, 2003","Go beyond the zany fun of the movie with an unbelievable adventure starring you as The Cat in the Hat.  The Cat's crate has been opened and Seussian magic has turned the house inside out. You'll encounter all the wacky characters from the movie as you race to restore order to the house before Mom comes home.  The Cat has his amazing umbrella, floating moves, and other tricks up his sleeve to help you through the 16 levels of pandemonium.  ",Dr. Seuss' The Cat in the Hat,https://www.metacritic.com/game/game-boy-advance/dr-seuss-the-cat-in-the-hat
T,7.8,Taito Corporation,"Action, Shooter, Third-Person, Sci-Fi",40.0,GameCube,Mastiff,"Apr 19, 2004","Nothing bites like a sky filled with invading alien space craft busily destroying civilization. And it gets really personal when the invaders drop hordes of ground troops to kill you and the people you love.  Ask Justin the street gang leader hoping to find and rescue his friend alive, Ashley the fashion photographer searching desperately for her boyfriend and Naji, a cop who wants his partner back. They're all playable characters fighting for their lives, to avenge those who have died and in the hope of finding disappeared friends.",Space Raiders,https://www.metacritic.com/game/gamecube/space-raiders
,7.6,Abstraction Games,"Action, Shooter, Shooter, Third-Person, Shoot-'Em-Up, Sci-Fi, Sci-Fi, Top-Down",40.0,PC,Mastertronic,"Aug 29, 2013",,The Chaos Engine (2013),https://www.metacritic.com/game/pc/the-chaos-engine-2013
T,4.5,Artech Studios,"Simulation, Submarine, Submarine, Marine, Combat",40.0,Xbox 360,505 Games,"Jun 15, 2010","Naval Assault: The Killing Tide follows a dramatic storyline of subterfuge inspired by the events of WWII where you command a fully armed submarine. Engage in sea warfare against enemy ships, subs and aircrafts, leading a daring US Naval Special Ops team across 30 levels that culminate in a spectacular sea battle. [505 Games]",Naval Assault: The Killing Tide,https://www.metacritic.com/game/xbox-360/naval-assault-the-killing-tide
M,5.2,Heavy Iron Studios,"Action Adventure, Horror, Horror, Survival",40.0,PC,THQ,"Mar 28, 2001",,Evil Dead: Hail to the King,https://www.metacritic.com/game/pc/evil-dead-hail-to-the-king
E,tbd,Saffire,"Action Adventure, Modern",40.0,Game Boy Advance,Hip Games,"Jul  5, 2004","Based on the new movie by Walden Media, Around the World in 80 Days takes you on a series of adventures. The story begins when the inventor Phileas Fogg takes on a bet against his nemesis, Lord Kelvin, that he can travel around the world in 80 days. As Passepartout, Fogg's French valet, you must accompany Fogg on a journey that begins in the streets of London and continues in Paris, Turkey, India, China, the western US deserts, and New York. Your mission is to help your companions safely pass through exotic locations, while overcoming dangerous obstacles and enemies. ",Around the World in 80 Days,https://www.metacritic.com/game/game-boy-advance/around-the-world-in-80-days
E,4.7,Blue Tongue Entertainment,"Action Adventure, Fantasy",40.0,GameCube,THQ,"Nov  2, 2004","In this adventure based on the Polar Express movie, you'll take a magical ride through eight chapters. A mysterious conductor shepherds you aboard a train to meet Santa Claus at the North Pole. Along the way, you'll meet all your favorite characters from the film, including the Girl Know-it-All, Lonely Boy, the Hobo, Smokey & Steamer, and the Elves. Experience minigames, solve puzzles, and search for lost presents as you explore expansive environments.",The Polar Express,https://www.metacritic.com/game/gamecube/the-polar-express
E10+,5.4,MileStone Inc.,"Action, Simulation, General, General, Vehicle, Combat",40.0,DS,O3 Entertainment,"Jun  1, 2007","Tank Beat is entirely stylus-based. As you draw tracks and fire on the DS's bottom screen game map, your tank appears and responds on the top screen. Players engage in a variety of missions and commandeer a full range of tanks: from tiny scrappers, to missile carriers, to giant Panzers. The game will ship with three modes: Story, Skirmish, and Battle. In single player Story Mode, players progress through 27 levels of play and unlock various tanks as they achieve objectives. Skirmish Mode allows players to practice on any of the maps and tanks that were unlocked in Story Mode plus additional exclusive levels. Free-for-all Battle Mode pitches up to 4 players against each other in either wireless head to head action or via the Nintendo Wi-Fi connection. [O3 Entertainment]",Tank Beat,https://www.metacritic.com/game/ds/tank-beat
,4.7,Maximum Games,"Historic, Action Adventure, General",40.0,PC,Maximum Games,"Mar 11, 2016","It is the height of the Cold War, a time of global uncertainty and civil unrest. In this stealth shooter you play Agent Alekhine, a highly skilled Russian assassin driven by a moral compass that leads you headfirst into a covert operation unsanctioned by the country you serve. Working alongside American CIA agents, your mission is clear - though how you accomplish it is anything but - as the tension of a nuclear standoff grows with each passing minute. In a world where one wrong move could be the end of you, navigating a new direction comes at a price. ",Alekhine's Gun,https://www.metacritic.com/game/pc/alekhines-gun
,5.3,Wolf Brew Games,"Action, Platformer, 2D",40.0,PC,Digerati Distribution,"Mar 24, 2016","Players control Bathoryn, a lycanthropic hero in a Gothic world, seeking to liberate seven great towers from 7 deadly overlords. Bathoryn must battle his way through a doomed land packed with gruesome pixel art foes before ascending (or sometimes descending) each tower, defeating puzzles, traps and monsters alike.",Slain!,https://www.metacritic.com/game/pc/slain!
T,4.9,NovaLogic,"Action, General, Shooter, Shooter, First-Person, Tactical, Modern, Modern",40.0,PC,NovaLogic,"May 27, 2009","The world's most deadly fighting force is back in all new multiplayer combat Delta Force: Xtreme 2 (DFX2) for the PC. The sequel to Delta Force: Xtreme is supported by the NovaWorld Community, a multiplayer network that provides smoother, faster and seamless gameplay for up to 150 players per game. With 10 single-player missions and nine co-op missions within two campaigns, players immerse themselves into the Delta Force experience by battling enemies in Asia.  Now available for download from www.novalogic.com, Valve, Direct2Drive and RealNetworks and at retail locations nationwide, DFX2 carries the recession busting price of just $29.99 (MSRP). DFX2 offers intense military gameplay in stunning 1080p Full HD and Dolby 7.1 Surround sound, and with game servers placed strategically around the world, the NovaWorld Community provides the gameplay that fans demand.  Featuring 20 content-rich multiplayer maps, DFX2 supports five of the most popular game types: Deathmatch, Team Deathmatch, Team King of the Hill, Capture the Flag, and Flagball. Each detailed map has something for everyone, from large, vehicle heavy battlefields to small, intense engagement zones. In addition to the feature-loaded multiplayer experience, gamers of all skill levels can mix it up in two heart-pounding single-player or co-operative campaigns where  players assume the role of a Delta Force operator sent to Asia to bring a drug cartel and former Soviet mercenaries to justice. The NovaWorld Community allows every element of the gameplay, from the enhanced ballistics to the innovative in-vehicle spawn system, to be carefully coordinated to support a fully balanced experience where teamwork is deadlier than individual firepower, and in DFX2, intelligence and creativity are rewarded as much as fast-twitch reflexes. The game also ships with a powerful MED level editor, which will allow gamers full utilization of game assets to create their own levels, including additional multiplayer game types. [NovaLogic]",Delta Force: Xtreme 2,https://www.metacritic.com/game/pc/delta-force-xtreme-2
T,5.4,Arcade Moon,"Simulation, Flight, WWII, WWII, Combat",41.0,Wii,Destineer,"Mar 21, 2008","Roll, loop, dodge and shoot like an Ace with simple motion controls in WWII Aces for the Wii™ system. Fly alone or with a friend via split-screen co-op as you join the ranks of the Royal Air Force, Soviet Air Force, or Luftwaffe and pilot 12 authentic airplanes through multiple campaigns based on real events. Or, take on your friend in thrilling competitive multiplayer! Published by Destineer and developed by Arcade Moon, World War II Aces immerses players in the intense dogfighting and acrobatic maneuvers that typified World War II via the most intuitive flight controls on the Wii yet. Execute barrel rolls, loops, and last-second dodges with a flick of the Wii Remote, or attach the Nunchuck addition for a more realistic control scheme. [Destineer]",WWII Aces,https://www.metacritic.com/game/wii/wwii-aces
,4.2,Bojan Brbora,"Adventure, General, 3D, First-Person",41.0,PC,4PM GAME,"Jul  9, 2014","4PM is a short, narrative driven game, made by one person as an attempt to tell a real, thriller story in the form of an interactive experience. It has high production values and a cinematic style. It is, with your support, a first in a series of smaller, narrative driven experiences, that spare no expense on audio-visual style.",4PM,https://www.metacritic.com/game/pc/4pm
T,3.3,Echo Peak,"General, Action, General",41.0,Xbox 360,505 Games,"May  3, 2013","Train as AJ, pick a side, take your chances and find the way: The Way of the Dogg. Way of the Dogg is a brutal, rhythm-action combat adventure, set to Snoop Dogg’s music. Each level is a fresh fight against a different character in a new location defined by a Snoop Dogg track. As AJ, fight your way through 14 levels, each a superbly choreographed beat-matched fight, set to Snoop's music, including 'Who am I?', 'Gz and Hustlas' and '10 Lil Crips' to name but a few.  Go head-to head with friends in multiplayer rhythm battles and follow Snoop's lead in the Temple Tutorials. Train with Snoop, pick a side, take your chances and find the way: The Way of the Dogg. ",Way of the Dogg,https://www.metacritic.com/game/xbox-360/way-of-the-dogg
E,4.9,"Bamtang, Maximum Games","Racing, Arcade, Automobile",41.0,Switch,GameMill Entertainment,"Oct 23, 2018","Hit the Slime-filled race tracks with Nickelodeon Kart Racers. Select a racer from one of your favorite Nickelodeon series, including SpongeBob, Patrick, and Sandy from SpongeBob SquarePants, Leonardo, Raphael, Michelangelo, and Donatello from Teenage Mutant Ninja Turtles, Arnold and Helga from Hey Arnold!, & Angelica, Tommy and Reptar from Rugrats. Race your friends in up to 4-player local multiplayer or check out the Battle Arena for a variety of challenges. Hit the road with racers from some of your favorite Nickelodeon series in a variety of Slime-filled tracks in the ultimate race to win cups and upgrades for your Kart! There's no slowing down there -- shift to the next gear and challenge your friends in split-screen racing and battle modes.",Nickelodeon Kart Racers,https://www.metacritic.com/game/switch/nickelodeon-kart-racers
E,3.9,Starsphere Interactive,"Simulation, Sci-Fi, Large Spaceship",41.0,Xbox,TDK Mediactive,"Jan 14, 2004","All hands to battle stations.  Get ready for a frenetic experience in an entirely new breed of Star Trek game: Star Trek: Shattered Universe.  An intense, edgy, high-energy space-combat action game set in the dark mirror universe of Star Trek: The Original Series classic-era setting, the game challenges you to adapt to a new reality where the noble Federation is now an evil and relentless foe.  Prepare to journey on a variety of missions featuring the most intense space-combat ever, where friends become enemies, enemies become allies and all the rules are broken.  You must master the deadly art of fighter combat to survive the dangerous journey ahead.",Star Trek: Shattered Universe,https://www.metacritic.com/game/xbox/star-trek-shattered-universe
M,4.7,"Creazn, Soedesco","Adventure, General",41.0,PlayStation 4,Soedesco,"May 24, 2019","This haunting horror game draws you into the mysterious atmosphere of film noir. Delve deep into the mind of Marie, a detective trying to unravel the secrets of her past, memory by memory. Use the ‘Focus’ feature to see through the eyes of your pursuer as you try to survive a suspenseful game of cat and mouse.",Dollhouse,https://www.metacritic.com/game/playstation-4/dollhouse
T,5.3,Sega Studios San Francisco,"Action, General, General",41.0,PlayStation 3,Sega,"May  4, 2010","Packed with favorites from the movie and comic book worlds, Iron Man 2: The Video Game offers gamers a chance to choose between Iron Man and War Machine, as they battle through hugely destructible indoor and outdoor environments. Tony and Rhodey both come equipped with their own distinct assortments of fully customizable, earth-shattering weapons, as well as vicious melee combat moves, all of which will come in handy against the likes of Crimson Dynamo and other classic Marvel foes. [Sega]",Iron Man 2,https://www.metacritic.com/game/playstation-3/iron-man-2
T,1.7,Game Republic,"Action Adventure, Historic, General, Historic",41.0,PlayStation 3,Namco Bandai Games,"Jul 27, 2010","Set in the timeless grandeur of Greek mythology, Clash of the Titans immerses players into the epic battle for dominance between the human race and the powerful gods Hades and Zeus. Through vast landscapes of swamps, mountains and the underworld, two modes of play let players embody Perseus’ adventure from the film, or take on original new bosses in fresh, dynamic adaptations of one of the greatest mythological stories ever told. This action-adventure game play arms players with an ever-changing arsenal of weapons and powers. Players can journey solo or team up with friends to complete quests as they encounter a roster of legendary villains including Medusa and the sea monster known as The Kraken. [Namco Bandai Games]",Clash of the Titans,https://www.metacritic.com/game/playstation-3/clash-of-the-titans
E10+,4.5,Gulti,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",41.0,Xbox 360,Square Enix,"Dec 23, 2009","[Xbox Live Arcade]  Earth is under attack by massive creatures from outer space. With a huge arsenal of heavy-power artillery at your disposal, climb into your fighter jet and wage fierce battles against these gruesome aggressors. The  Arcade exclusive 0 Day Attack on Earth gives you full range of motion and attack while you engage in air strikes over real-world cities, such as Tokyo, New York and Paris. Team up with—or battle against—players from around the world in online co-op. Only you can save Earth from complete annihilation! [Square Enix]",0 Day Attack on Earth,https://www.metacritic.com/game/xbox-360/0-day-attack-on-earth
M,7.0,3D Realms,"Action, Shooter, Shooter, First-Person, Scrolling, Shoot-'Em-Up, Sci-Fi, Horizontal",41.0,Xbox 360,Microsoft Game Studios,"Jun 23, 2010","[Xbox Live Arcade]  Duke Nukem is back in Duke Nukem Manhattan Project. New York City is being overrun by a mutant menace and it's time to de-worm the Big Apple. This 3-D action game features the politically incorrect action hero defending the city that never sleeps, and its babes, from the evil Mech Morphix across 24 levels from Chinatown to Space. A super-sized collection of weapons, enemies and bosses await. As Duke would say, “Babes, bullets, bombs. Man, I love this job!”",Duke Nukem: Manhattan Project,https://www.metacritic.com/game/xbox-360/duke-nukem-manhattan-project
E,4.8,"Holistic Design, Inc.","Strategy, Tycoon, Management, Tycoon, Business / Tycoon",41.0,PC,Take-Two Interactive,"Feb  3, 2002","Every mall goer's ideal simulation. Design, build, and manage your very own shopping mall. Conduct marketing campaigns to attract new shoppers, organize fashion shows, and research the latest products to drive your shoppers crazy! The Mall is yours to control. But be careful to balance out your stores, and make sure to pay attention to your customers, because in this world, they are always right! [Take 2 Interactive]",Mall Tycoon,https://www.metacritic.com/game/pc/mall-tycoon
T,4.1,"Eurocom Entertainment Software, Eurocom","Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",41.0,PlayStation 3,Activision,"Oct 16, 2012","Each of the 007 Legends movie-inspired missions include multiple levels based on a re-imaginings of some of the most iconic Bond films, showcasing state-of-the-art spy gadgets, an arsenal of weapons and tricked-out vehicles, exotic locales, and intense moments that require Bond’s dexterity to defeat notorious villains and their wily henchmen.",007 Legends,https://www.metacritic.com/game/playstation-3/007-legends
E10+,tbd,Nordcurrent,"Sports, General, General",41.0,Wii,Atlus,"Jan 13, 2011","Friends and family members of all ages will have hours of fun earning points by successfully completing challenges and spending their points to reveal dozens of exciting new sports games, striving to unlock more and more each time. Simple to play and addicting to master, these games will keep players engrossed in competing head-to-head with friends, scoring goals, earning medals, winning races, and beating high scores. There is practically no end to the fast-paced sports action!",101-in-1 Sports Party Megamix,https://www.metacritic.com/game/wii/101-in-1-sports-party-megamix
E,4.8,Hothouse Creations,"Miscellaneous, Rhythm, Music",41.0,PlayStation 2,Codemasters,"Nov 11, 2003","[Also known as ""Pop Idol""] Complete with a computer generated Randy Jackson, Paula Abdul and Simon Cowell, with trademark insults, American Idol is a music-based, rhythm -action game that will allow you to style a contestant for the competition. Once you have created your Idol you?ll see your contestant through the auditions, various heats and then fingers crossed make it to the grand finale. However, if your contestant squeals and howls out of tune then prepare for heartache as Simon delivers one of his famous comments before you get booted off the show.",American Idol,https://www.metacritic.com/game/playstation-2/american-idol
E10+,6.0,"Digital Leisure Inc., Digital Leisure","Action, Adventure, Interactive Movie, General, Arcade, Interactive Movie",41.0,Xbox 360,Digital Leisure Inc.,"May 18, 2012","Dragon's Lair, one of the most beloved arcade games of all time can now be enjoyed from the comfort of your couch. This fully arcade authentic version is fully playable with Kinect or the Xbox 360 controller so you can really show how well you wield Dirk's sword. Included with this ultimate edition are bonus Avatar items, Gamerpics and even a full watch feature to sit back and enjoy Don Bluth's stunning animation. In Dragon's Lair, you play the heroic Dirk the Daring, a valiant knight on a quest to rescue the fair princess from the clutches of an evil dragon! Find your way through the castle of a dark wizard, who has enchanted it with treacherous monsters and obstacles. Lead on adventurer. Your quest awaits!",Dragon's Lair,https://www.metacritic.com/game/xbox-360/dragons-lair
E,6.5,Genki,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",41.0,PSP,Konami,"Feb 28, 2006","Stepping away from the norm, Street Supremacy features innovative game modes that set it apart from other titles in the racing genre. This includes the unique 'Team Battle' mode, which doesn't utilize the traditional first, second and third place finishes. Players win the race by depleting their rival's Spirit Points, which are decreased by contact with walls, cars and by falling behind other racers. Divided into 15 areas, two teams compete to dominate the game map through individual races between the different players. By earning points for each victory, players can judge how they stack up against their rivals and cherry-pick their competition from the player roster as they look to seize territories. Win and increase team loyalty, recruit defeated riders and increase your supremacy on the streets while being upgraded in the rankings. But lose, and learn quickly that there are no points for second place in street racing. In addition to Street Supremacy’s stunning racing action, the cars in the game can also be modified to add an edge to the duels. The game's authentically modeled Nissans, Mitsubishis and Subarus can all be enhanced with new exhausts, paint jobs and spoilers. These all prove vital in shaving seconds off the lap times, while stickers and fancy lights can also be used to enhance the car's aesthetics, adding a layer of gloss to an already entertaining racer video game. Additionally, Street Supremacy also takes advantage of the PSP system's wireless functionality by letting gamers compete against a second player in the Vs. mode for a gripping head-to-head racing experience. [Konami]",Street Supremacy,https://www.metacritic.com/game/psp/street-supremacy
E,tbd,Saturnine Games,"Action, General, Platformer, 2D",41.0,3DS,Saturnine Games,"May 22, 2014","Turtle Island has been invaded by pirates, and it's up to you to stop them!",Turtle Tale,https://www.metacritic.com/game/3ds/turtle-tale
M,6.8,Apeiron,"Strategy, Turn-Based, Modern, General, Modern",41.0,PC,Strategy First,"Oct 17, 2006","Brigade E5: New Jagged Union is set in the fictional, small tropical country of Palinero. Players are required to assemble a band of mercenaries and take control of a rapidly deteriorating situation in order to survive the imminent civil war and avoid having their country left in complete ruins. Brigade E5: New Jagged Union is a tactical strategy title. The story offers players the opportunity to experience three different viewpoints of the conflict, or work outside the political structure to achieve their own goals towards global domination. Game play for the title is based on an innovative combat system called SPM (Smart Pause Mode) that successfully blends together the elements of both real-time and turn-based games. [Strategy First, Inc.]",Brigade E5: New Jagged Union,https://www.metacritic.com/game/pc/brigade-e5-new-jagged-union
E,6.5,SIMS,"Sports, Individual, Nature, Fishing, Fishing",41.0,PlayStation Vita,Wired Productions,"Jan 29, 2013","Developed by the team behind SEGA Bass Fishing and Ape Escape (PSP), Let's Fish! Hooked On invites you to tackle four challenging game modes as you take advantage of the unique capabilities of the PlayStation Vita. Cast, hook and reel numerous classes of fish, earn new lures and play through 11 themed outdoor stages on your way to becoming World Champion.",Lets Fish! Hooked On,https://www.metacritic.com/game/playstation-vita/lets-fish!-hooked-on
M,4.2,Kalypso,"Action Adventure, Modern, General, Modern, Linear",41.0,PC,Kalypso,"Jul  3, 2013","DARK is a stealth action game with RPG elements that lets you slip into the role of the ultimate killer... a vampire. Stalk you enemies from the shadows then use powerful vampire abilities to attack and silently dispatch them! The exciting story of DARK immerses you in a world full of blood and darkness in which the hunter can become the hunted at any time. As you unravel the mystery behind the global conglomerate that seems omnipresent and all-powerful, continually improve your character by developing powerful skills to aid you in remaining unobserved, or make quick process of those unfortunate to take too keen an interest in you.",DARK,https://www.metacritic.com/game/pc/dark
E,5.3,MagicWand,"Sports, Individual, Nature, Fishing, Fishing",41.0,Wii,Activision,"Nov 22, 2006",,Rapala Tournament Fishing!,https://www.metacritic.com/game/wii/rapala-tournament-fishing!
E,tbd,Empire Oxford,"Miscellaneous, Compilation, Compilation",41.0,PSP,Destineer,"May 17, 2007","(Currently available in the UK/EU only)  To become a KAZooK super-star you have to make your way through the ultimate party games collection that can take you anywhere and bring to life your wildest dreams, or weirdest nightmares. Face killer Zombies, pilot out of control UFOs, fight with mad sweaty Sumo’s, cause mayhem at an outrageous pool party and encounter many other thrills and oddities. Kazook is a bizarre collection of 30 totally addictive mini-games set in a distinctly stylized world. With 16 wacky characters to choose from from cool skater kids to scary Goths, to hard-core gangster rappers and sexy beach babes - drive yourself crazy with excitement. 30 bizarre mini-games - simple shoot-em-ups to dance games, Fighting to Racing - Offering a variety of game styles, each with its own challenge – something for everyone. Take control of one of 16 characters – all-star rappers, skate-kids, wild Goths girls and cool street dudes among others as you take on the many challenges KAZooK has to offer. 3 solo game modes: Normal – Battle through each mini-game one-by-one, unlocking more levels and bonuses. Survival – Test your staying power – play through all the minigames, lasting as long as possible. Party – take on the challenge of completing all minigames to become the ultimate party superstar! Wi-Fi Multiplayer – 27 mini-games can be played 2 player using the PSP wi-fi feature and 6 can be played hot-seat on one PSP - beat, blast and race your friends. Are you KAZooK? Game Sharing – 5 of the minigames can be shared with other PSP’s using only one game UMD. Controls – Simple controls allows gamers of all abilities to pick it up and play but impossible to put down! [Xplosiv]",Taito Legends Power-Up,https://www.metacritic.com/game/psp/taito-legends-power-up
T,4.0,Trickstar Games,"Action, Simulation, Flight, Flight, Combat",41.0,PlayStation 3,Maximum Family Games,"Nov 15, 2011",,JASF: Jane's Advanced Strike Fighters,https://www.metacritic.com/game/playstation-3/jasf-janes-advanced-strike-fighters
,2.5,Jason Oda,"Action, General",41.0,PC,tinyBuild,"Jun 18, 2020",,Waking,https://www.metacritic.com/game/pc/waking
T,4.1,IGGYMOB,"Action, Shooter, Light Gun",41.0,PlayStation 4,XSEED Games,"Dec 11, 2018",,Gungrave VR,https://www.metacritic.com/game/playstation-4/gungrave-vr
E10+,4.1,Shiny Entertainment,"Action Adventure, Fantasy, General, Fantasy",41.0,Xbox 360,Sega,"Dec  4, 2007","The Golden Compass follows the screenplay adaptation of the first book in the acclaimed trilogy, capturing the fantasy adventure set in a parallel world where giant armored bears rule a kingdom, beautiful witches fly through the frozen skies, and human beings' deepest essence is manifest as talking animals that remain their faithful companion for life – their daemon. Players can assume the role of Lyra, a young girl, along with her daemon Pantalaimon (Pan), as she journeys through the frozen wastes of the North to rescue a friend kidnapped by a mysterious organization known as The Gobblers and winds up on an epic quest to save not only her world, but ours as well. Gamers can also take on the character of Iorek Byrnison, a great armoured polar bear who joins the quest. As Lyra, players use their daemon and collaborate with in-game characters, collecting special items in order to explore, evade, and deceive their way through confrontations with the Gobblers, the Magisterium, and the horribly dangerous spy fly to find her friend. They can also do battle as Iorek with special attacks and a riding mechanic as he protects Lyra during the journey. Gamers can unlock secrets and mini-games using a mysterious, truth-telling golden compass device called an alethiometer. Players can explore 13 vast locations, including all-new breath-taking environments not seen in the film, on this massive journey of collaboration, exploration and the eternal struggle between good and evil. [Sega]",The Golden Compass,https://www.metacritic.com/game/xbox-360/the-golden-compass
T,5.0,Electronic Arts,"Action, Shooter, Shooter, Third-Person, Fantasy, Fantasy, Arcade",41.0,Wii,Electronic Arts,"Nov 16, 2010",,"Harry Potter and the Deathly Hallows, Part 1",https://www.metacritic.com/game/wii/harry-potter-and-the-deathly-hallows-part-1
E,6.5,Ubisoft Vancouver,"Sports, General, General",41.0,Xbox 360,Ubisoft,"Nov  1, 2011",,MotionSports Adrenaline,https://www.metacritic.com/game/xbox-360/motionsports-adrenaline
E,5.8,Timeline Computer Entertainment,"Action, General, General",41.0,PC,Eidos Interactive,"Nov 12, 2000",Make your way through a challenging and perilous interactive world to rescue your professor. Characters come to life with innovative facial animations and full audio dialogue. Immerse yourself in diverse and realistic environments all modeled with historic accuracy to create an authentic experience.  [Eidos Interactive],Timeline,https://www.metacritic.com/game/pc/timeline
E,4.2,MTO,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",41.0,Wii,Ubisoft,"Nov 14, 2006","GT Pro Series is an exclusive car-racing game for Nintendo’s Wii. With more than 80 licensed cars, tons of tuning options and its fluid drift-style controls and physics, GT Pro Series perfectly fits the Wii’s unique gameplay approach. It’s a fast-paced racing game that takes full advantage of the Wii Remote. [Ubisoft]",GT Pro Series,https://www.metacritic.com/game/wii/gt-pro-series
,6.8,Emobi Games,"Action, Shooter, Shooter, First-Person, Historic, Arcade",41.0,PC,Emobi Games,"Jul 20, 2012",7554 is a first person shooter set against the historical backdrop of the climatic conclusion to the first Indochina War between the Vietnam Peopleâ€™s Army revolutionaries and the oppressing French army. The single player campaign puts gamers on the front line of a colonial independence movement locked in battle against a technologically more advanced modern Western occupier.,7554,https://www.metacritic.com/game/pc/7554
E10+,5.2,"Ubisoft Barcelona, Ubisoft Reflections","Driving, Racing, Mission-based, Arcade, Mission-based, Automobile",41.0,Wii,Ubisoft,"May 27, 2008","Emergency Heroes is an open world rescue driving game. Young rescuers can jump into 16 different variations of next-generation rescue vehicles as a police officer, firefighter or EMT and navigate through the sprawling streets of San Alto, keeping citizens safe along the way. Drive the next generation of rescue vehicles. Pilot and command numerous hi-tech rescue vehicles designed specifically for ultra-high-risk, high-speed navigation. Choose between police, fire and EMT vehicles. Explore and protect the entire city. As an emergency hero, your mission is to protect the peaceful city of San Alto. Drive through stunning free-roaming open environments, rescuing the city from imminent danger at every turn. Two Player Co-Op. Challenge your friends or combine forces to form the ultimate rescue hero team to protect your city. Making full use of the Wii Remote, everyone in the family can enjoy being an emergency hero. Take advantage of Hero Mode and play like you mean it – the faster you drive, the faster you rise and gain access to powers of invincibility. [Ubisoft]",Emergency Heroes,https://www.metacritic.com/game/wii/emergency-heroes
E,6.0,Europress,"Driving, Racing, Rally / Offroad",41.0,Nintendo 64,SouthPeak Games,"Jun 30, 2000","RALLY CHALLENGE 2000 takes you on a scorching tour around the world. Get behind the wheel of one of nine authentic WRC cars, each with its own unique settings for speed, torque and steering. Experience road rage of global proportions. Nasty weather and wicked terrain make even straightaways life-threatening. Go it alone or head-to-head with up to four players. Check out instant replay of all the action from multiple angles. Keep your road rage in check - collision damage could put you on the sidelines.",Rally Challenge 2000,https://www.metacritic.com/game/nintendo-64/rally-challenge-2000
E,7.3,Gabriel Interactive,"Strategy, Breeding/Constructing, General, Breeding/Constructing",41.0,PC,WizardWorks,"Apr  1, 2001",,Robot Arena,https://www.metacritic.com/game/pc/robot-arena
T,3.6,Made by Kiddies,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi",41.0,PC,Strategy First,"Feb  9, 2004","The year is 2060 and the action takes place on a remote and isolated planet. In the distant frontiers of space, a large allied force well beyond the reach of Earth maintains civilization. The aim is to conquer and defend distant planets for the new civilization. The crew of the commercial starship MBK-03 has been alerted to investigate a distress call from an allied planet. After landing on the planet, the crew discovers that the signal is actually a warning. A warning to abandon the planet, but it is too late to turn back and the terror begins when they first encounter an alien during their investigation. Defend the allied planet against the alien raid ? this is the mission! Far from the reaches of your solar system, you are alone on an assignment to battle the alien horde. As a member of the allied forces, everyone is relying on you. Most of your allied forces have been destroyed, and this will be your most difficult mission yet. It's up to you to defend the planet. In this first-person view arcade shoot'em-up, you must gather up all your courage to defend yourself and defeat the enemy, the aliens. Alien Blast is an exciting sci-fi action combat game for everyone. [Strategy First]",Alien Blast: The Encounter,https://www.metacritic.com/game/pc/alien-blast-the-encounter
